first_name,last_name,pelicula
Kris,Clegg,All the Young Men
Karlen,Cotton,Moby Dick
Hayward,Pay,Mac and Me
Morrie,Zarfai,Humpday
Lonni,Hryncewicz,Caribe
Thebault,Langridge,More
Lorette,Lowerson,Heartbeat
Andre,Humes,"Unknown Soldier, The (Unbekannte Soldat, Der)"
Daryn,Swains,Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2)
Payton,Gascard,Tribute
Tony,Lebreton,"Killer Elite, The"
Linnie,Lomas,Side Street
Patten,Jewis,Withnail & I
Herman,Guidelli,Good Bye (Bé omid é didar)
Sibylle,Lumbly,"Union, The"
Bernadette,Brogini,I Know What You Did Last Summer
Ado,Deboy,"Sunfish, The (Klumpfisken)"
Cairistiona,Midlar,Johnny Angel
Jessica,Wraggs,"Shot in the Dark, A"
Avie,Martinuzzi,Fjols til fjells
Mellisa,Orht,"Beautiful Country, The"
Pepe,O'Reagan,Young Guns
Lorilyn,Bellord,"That Night in Varennes (Nuit de Varennes, La)"
Robby,Holbie,Black and White in Color (Noirs et blancs en couleur)
Claiborn,Taffurelli,Forever Amber
Willie,Wadsworth,Stars
Kenton,Townsend,Extraction
Idelle,Menhci,Walking Tall
Bartram,Burke,Klute
Berton,Goult,Secret Admirer
Adriano,Lazer,Winter Light (Nattvardsgästerna)
Hillie,McGaughay,Rentun Ruusu
Armando,Smalley,Two Ninas
Alessandra,Sagrott,Bill & Ted's Bogus Journey
Vanny,Dukesbury,Encounters at the End of the World
Jesse,Touhig,"Good Day to Die Hard, A"
Henka,Thunnerclef,Red Hill
Bonnibelle,Parcells,"Midsummer Night's Dream, A"
Esta,Swindells,Stay
Kandy,Hallin,3 Strikes
Alfons,Loggie,Alice Adams
Claudio,Sewart,Wishmaster
Orion,Denerley,Star 80
Aluin,Bampton,Lake Placid
Syman,McCulloch,Every Other Week (Varannan vecka)
Gabrielle,Dunican,Tuvalu
Colleen,Blythe,Negative Happy Chainsaw Edge (Negatibu happî chênsô ejji)
Boyce,Rosenstein,"River Why, The"
Madelin,Culvey,"Hitman, The"
Beryl,Fines,Waco: A New Revelation
Rufus,Lindeboom,"Muppet Christmas Carol, The"
Tammie,Dews,Subspecies
Cash,Coton,Dead Ringer
Kristan,Casine,Fallout
Larisa,Mochar,"Woman's Face, A"
Lorne,Stapley,Audition (Ôdishon)
Arnoldo,Cuerdale,"Jitney Elopement, A"
Stephine,Labbati,Loser
Haskell,Castel,No Looking Back
Marin,Gyngell,Destruction Force
Sondra,Chander,"Crawling Hand, The"
Kirbee,Dabinett,Craig Ferguson: Does This Need to Be Said?
Timmy,Blonden,Impulse
Shaun,Piller,"Arise, My Love"
Odette,Drejer,Blue Sky
Ivy,Lillicrop,Rat King
Prinz,Fulleylove,Kiss and Tell
Rhodia,Conant,"Flying Fleet, The"
Juliann,Dimitriev,Who's the Man?
Madeleine,Dillimore,Sweet November
Daniela,Dewsbury,"Perfect Human, The (Perfekte Menneske, Det)"
Hasty,Berridge,"Tuskegee Airmen, The"
Kelsy,Causon,"Big Knife, The"
Toddie,Fusco,Bambi 2
Gwennie,Barham,Jane Eyre
Tiebout,Sapsed,"Affair of the Necklace, The"
Casey,Radbourne,We're No Angels
Cynthea,Thame,Man with the Screaming Brain
Bengt,Elward,"American Tail, An"
Nat,Meighan,"Hot Chick, The"
Karyl,Goggin,Psyhi vathia (a.k.a. Deep Soul)
Edith,Strahan,Precision: The Measure of All Things
Ginny,Turgoose,Beyond the Sea
Doroteya,Sharples,"Gun in Betty Lou's Handbag, The"
Graig,Cumbes,"Perks of Being a Wallflower, The"
Sawyer,Godber,United States of Secrets (Part One): The Program
Delphine,Stearn,Antibodies (Antikörper)
Ludovico,Gionettitti,"Underground Comedy Movie, The"
Dickie,Rubinowitsch,Sweet Rush (Tatarak)
Austina,Halle,Five
Osbourne,Neylan,It's Pat
Trudie,Ryall,Big Bad Mama
Mandi,Mattsson,Dracula A.D. 1972
Maximo,McNern,Kongo
Barnie,Ipgrave,In the Realms of the Unreal
Fidelio,Oswald,"Perfect Family, The"
Tadio,Cayzer,Animal
Ernst,Brigge,First Target
Luca,Prandi,Skin Deep
Celle,Tolley,Bert - Den siste oskulden
Townie,Cassie,Tabloid
Janine,Gubbins,Soo (Art of Revenge)
Clarice,Sartain,Nobody Will Speak of Us When We're Dead (Nadie hablará de nosotras cuando hayamos muerto)
Dorey,Screech,Soul Survivors (a.k.a. The Killer Cut)
Cassie,Pisco,Kill Switch
Nanny,Cecil,Swing Vote
Robers,De Clairmont,"Princess of Montpensier, The (La princesse de Montpensier)"
Shermie,Westlake,I Start Counting
Lina,Papachristophorou,Shipwrecked (a.k.a. Haakon Haakonsen)
Branden,Tomankiewicz,Quand je serai petit
Lyon,Boulds,How Stella Got Her Groove Back
Ernesto,Pautard,"Inheritors, The (Siebtelbauern, Die)"
Briana,Rawsthorn,8th Wonderland
Scarlet,Sex,"Getaway, The"
Jillian,Ballefant,How the Grinch Stole Christmas (a.k.a. The Grinch)
Eleen,Goodie,Tobruk
Cherilyn,Caston,"Sea Is Watching, The (Umi wa miteita)"
Happy,Hesbrook,"Thick-Walled Room, The (Kabe atsuki heya)"
Suzanne,Webberley,Tart
Herbie,Donohoe,To the Shores of Tripoli
Arvin,Dunbar,Wild Zero
Shellysheldon,Alejandro,"Gun in Betty Lou's Handbag, The"
Emmy,Lamplugh,Maya Lin: A Strong Clear Vision
Lina,Danelutti,"Secret Life of Words, The"
Clerissa,Goldhill,"Fighting Spirit, The"
Derward,Darmody,North West Mounted Police
Fransisco,Lyddon,Anna Christie
Faye,Fuentez,"Land Before Time II: The Great Valley Adventure, The"
Clair,Raddin,"Song Remains the Same, The"
Dominique,People,Harry and Walter Go to New York
Arlena,Ruthven,"Unreasonable Man, An"
Federica,Burnes,Jim Thorpe -- All-American
Keven,Collibear,Outside Satan (Hors Satan)
Nefen,Siviter,"Welcome Back, Mr. McDonald (Rajio no jikan)"
Rodolphe,Snoxall,That Hagen Girl
Candis,Hookes,Cool Runnings
Humphrey,Flisher,Maidens in Uniform (Mädchen in Uniform)
Ariel,Keyser,Tropico
Lane,Malser,U.S. Marshals
Perri,Lorraway,World Traveler
Ricoriki,Synke,He Who Dares
Ophelia,Aggus,Madhouse
Harvey,Flipek,Carrie
Donovan,Mc Caghan,Highlander: The Source
Agretha,Margrett,"Secret Life of Bees, The"
Emeline,Carnalan,SS Experiment Love Camp (Lager SSadis Kastrat Kommandantur)
Ingemar,Batham,Richard III
Briny,Wellbank,Results
Westbrooke,Adolthine,K2
